#format table ## [Custom WaveView] saved 08:01:55 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 8.000E-05 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.677E-06 , 1.315E+00 , 8.662E-06 
 1.300E-04 , 2.577E-05 , 2.577E-05 , 2.577E-05 , 1.264E+00 , 1.264E+00 , 1.306E+00 
 1.800E-04 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.675E-06 , 8.676E-06 , 1.315E+00 
 2.300E-04 , 2.230E-04 , 2.230E-04 , 2.230E-04 , 1.246E+00 , 1.296E+00 , 2.231E-04 
 2.800E-04 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.677E-06 , 1.315E+00 , 8.687E-06 
 3.300E-04 , 2.231E-04 , 2.231E-04 , 2.231E-04 , 1.246E+00 , 1.296E+00 , 2.231E-04 
 3.800E-04 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.677E-06 , 1.315E+00 , 8.674E-06 
 4.300E-04 , 2.231E-04 , 2.231E-04 , 2.231E-04 , 1.246E+00 , 1.296E+00 , 2.231E-04 
 4.800E-04 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.677E-06 , 1.315E+00 , 8.669E-06 
 5.300E-04 , 1.909E-04 , 1.909E-04 , 1.909E-04 , 1.296E+00 , 1.909E-04 , 1.296E+00 
 5.800E-04 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.329E-05 , 1.292E+00 , 1.322E+00 
 6.300E-04 , 2.231E-04 , 2.231E-04 , 2.231E-04 , 1.246E+00 , 1.296E+00 , 2.232E-04 
 6.800E-04 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.676E-06 , 1.315E+00 , 8.672E-06 
 7.300E-04 , 1.909E-04 , 1.909E-04 , 1.909E-04 , 1.296E+00 , 1.909E-04 , 1.296E+00 
 7.800E-04 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.328E-05 , 1.292E+00 , 1.322E+00 
 8.300E-04 , 1.909E-04 , 1.909E-04 , 1.909E-04 , 1.296E+00 , 1.909E-04 , 1.296E+00 
 8.800E-04 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.328E-05 , 1.292E+00 , 1.322E+00 
 9.300E-04 , 1.910E-04 , 1.910E-04 , 1.910E-04 , 1.296E+00 , 1.910E-04 , 1.296E+00 
 9.800E-04 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.327E-05 , 1.292E+00 , 1.322E+00 
 1.030E-03 , 1.452E-03 , 1.452E-03 , 1.452E-03 , 1.285E+00 , 1.452E-03 , 1.451E-03 
 1.080E-03 , 1.280E+00 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.603E-06 , 8.585E-06 
 1.130E-03 , 1.910E-04 , 1.910E-04 , 1.910E-04 , 1.296E+00 , 1.910E-04 , 1.296E+00 
 1.180E-03 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.327E-05 , 1.292E+00 , 1.322E+00 
 1.230E-03 , 1.452E-03 , 1.452E-03 , 1.452E-03 , 1.285E+00 , 1.452E-03 , 1.452E-03 
 1.280E-03 , 1.280E+00 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.603E-06 , 8.606E-06 
 1.330E-03 , 1.452E-03 , 1.452E-03 , 1.452E-03 , 1.285E+00 , 1.452E-03 , 1.452E-03 
 1.380E-03 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.326E-05 , 1.292E+00 , 1.322E+00 
 1.430E-03 , 1.452E-03 , 1.452E-03 , 1.452E-03 , 1.285E+00 , 1.452E-03 , 1.452E-03 
 1.480E-03 , 1.280E+00 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.603E-06 , 8.595E-06 
 1.530E-03 , 1.452E-03 , 1.452E-03 , 1.452E-03 , 1.285E+00 , 1.452E-03 , 1.452E-03 
 1.580E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.326E-05 , 1.322E+00 
 1.630E-03 , 1.452E-03 , 1.452E-03 , 1.452E-03 , 1.285E+00 , 1.452E-03 , 1.452E-03 
 1.680E-03 , 1.280E+00 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.603E-06 , 8.603E-06 
 1.730E-03 , 2.234E-04 , 2.234E-04 , 2.234E-04 , 2.234E-04 , 1.246E+00 , 1.296E+00 
 1.780E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.326E-05 , 1.322E+00 
 1.830E-03 , 2.234E-04 , 2.234E-04 , 2.234E-04 , 2.234E-04 , 1.246E+00 , 1.296E+00 
 1.880E-03 , 1.280E+00 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.602E-06 , 8.600E-06 
 1.930E-03 , 1.453E-03 , 1.453E-03 , 1.453E-03 , 1.285E+00 , 1.453E-03 , 1.453E-03 
 1.980E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.325E-05 , 1.322E+00 
 2.030E-03 , 2.235E-04 , 2.235E-04 , 2.235E-04 , 2.235E-04 , 1.246E+00 , 1.296E+00 
 2.080E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.325E-05 , 1.322E+00 
 2.130E-03 , 2.235E-04 , 2.235E-04 , 2.235E-04 , 2.235E-04 , 1.246E+00 , 1.296E+00 
 2.180E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.324E-05 , 1.322E+00 
 2.230E-03 , 1.453E-03 , 1.453E-03 , 1.453E-03 , 1.453E-03 , 1.285E+00 , 1.453E-03 
 2.280E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.324E-05 , 1.322E+00 
 2.330E-03 , 2.236E-04 , 2.236E-04 , 2.236E-04 , 2.236E-04 , 1.246E+00 , 1.296E+00 
 2.380E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.324E-05 , 1.322E+00 
 2.430E-03 , 2.236E-04 , 2.236E-04 , 2.236E-04 , 2.236E-04 , 1.246E+00 , 1.296E+00 
 2.480E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.324E-05 , 1.322E+00 
 2.530E-03 , 1.453E-03 , 1.453E-03 , 1.453E-03 , 1.453E-03 , 1.285E+00 , 1.453E-03 
 2.580E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.098E-05 
 2.630E-03 , 2.236E-04 , 2.236E-04 , 2.236E-04 , 2.236E-04 , 1.246E+00 , 1.296E+00 
 2.680E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.096E-05 
 2.730E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.285E+00 , 1.454E-03 
 2.780E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.099E-05 
 2.830E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.285E+00 , 1.454E-03 
 2.880E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.090E-05 
 2.930E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.285E+00 , 1.454E-03 
 2.980E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.098E-05 
 3.030E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.285E+00 , 1.454E-03 
 3.080E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 3.130E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.285E+00 , 1.454E-03 
 3.180E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.097E-05 
 3.230E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.285E+00 
 3.280E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 3.330E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.454E-03 , 1.285E+00 , 1.454E-03 
 3.380E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.091E-05 
 3.430E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.285E+00 , 1.455E-03 
 3.480E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.097E-05 
 3.530E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.285E+00 
 3.580E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 3.630E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.285E+00 , 1.455E-03 
 3.680E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.090E-05 
 3.730E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.285E+00 
 3.780E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 3.830E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.285E+00 
 3.880E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.088E-05 
 3.930E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.285E+00 , 1.455E-03 
 3.980E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 4.030E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.285E+00 
 4.080E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 4.130E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.455E-03 , 1.285E+00 
 4.180E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.096E-05 
 4.230E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.285E+00 
 4.280E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 4.330E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.285E+00 
 4.380E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.087E-05 
 4.430E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.285E+00 
 4.480E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 4.530E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.285E+00 
 4.580E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 4.630E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.285E+00 
 4.680E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.095E-05 
 4.730E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.285E+00 
 4.780E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 4.830E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.285E+00 
 4.880E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.089E-05 
 4.930E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.456E-03 , 1.285E+00 
 4.980E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 5.030E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.285E+00 
 5.080E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 5.130E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.285E+00 
 5.180E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.093E-05 
 5.230E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.285E+00 
 5.280E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 5.330E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.285E+00 
 5.380E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.093E-05 
 5.430E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.285E+00 
 5.480E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 5.530E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.285E+00 
 5.580E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 5.630E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.285E+00 
 5.680E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.092E-05 
 5.730E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.457E-03 , 1.285E+00 
 5.780E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 5.830E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.285E+00 
 5.880E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.084E-05 
 5.930E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.285E+00 , 1.458E-03 
 5.980E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 6.030E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.285E+00 
 6.080E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 6.130E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.285E+00 
 6.180E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.092E-05 
 6.230E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.285E+00 
 6.280E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 6.330E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.285E+00 
 6.380E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.091E-05 
 6.430E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.458E-03 , 1.285E+00 , 1.458E-03 
 6.480E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 6.530E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.285E+00 
 6.580E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 6.630E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.285E+00 , 1.459E-03 
 6.680E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.091E-05 
 6.730E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.285E+00 
 6.780E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 6.830E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.285E+00 , 1.459E-03 
 6.880E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.091E-05 
 6.930E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.285E+00 , 1.459E-03 
 6.980E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.090E-05 
 7.030E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.285E+00 , 1.459E-03 
 7.080E-03 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.312E+00 , 1.334E+00 
 7.130E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.285E+00 , 1.459E-03 
 7.180E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.089E-05 
 7.230E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.459E-03 , 1.285E+00 , 1.459E-03 
 7.280E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.092E-05 
 7.330E-03 , 1.460E-03 , 1.460E-03 , 1.460E-03 , 1.460E-03 , 1.285E+00 , 1.460E-03 
 7.380E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.083E-05 
 7.430E-03 , 2.248E-04 , 2.248E-04 , 2.248E-04 , 2.248E-04 , 1.246E+00 , 1.296E+00 
 7.480E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.088E-05 
 7.530E-03 , 1.460E-03 , 1.460E-03 , 1.460E-03 , 1.460E-03 , 1.285E+00 , 1.460E-03 
 7.580E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.087E-05 
 7.630E-03 , 2.249E-04 , 2.249E-04 , 2.249E-04 , 2.249E-04 , 1.246E+00 , 1.296E+00 
 7.680E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.312E-05 , 1.322E+00 
 7.730E-03 , 1.460E-03 , 1.460E-03 , 1.460E-03 , 1.460E-03 , 1.285E+00 , 1.460E-03 
 7.780E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.089E-05 
 7.830E-03 , 2.250E-04 , 2.250E-04 , 2.250E-04 , 2.250E-04 , 1.246E+00 , 1.296E+00 
 7.880E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.311E-05 , 1.322E+00 
 7.930E-03 , 2.250E-04 , 2.250E-04 , 2.250E-04 , 2.250E-04 , 1.246E+00 , 1.296E+00 
 7.980E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.311E-05 , 1.322E+00 
 8.030E-03 , 2.250E-04 , 2.250E-04 , 2.250E-04 , 2.250E-04 , 1.246E+00 , 1.296E+00 
 8.080E-03 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.291E+00 , 1.322E+00 , 2.085E-05 
 8.130E-03 , 2.250E-04 , 2.250E-04 , 2.250E-04 , 2.250E-04 , 1.246E+00 , 1.296E+00 
 8.180E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.310E-05 , 1.322E+00 
 8.230E-03 , 2.251E-04 , 2.251E-04 , 2.251E-04 , 2.251E-04 , 1.246E+00 , 1.296E+00 
 8.280E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.310E-05 , 1.322E+00 
 8.330E-03 , 2.251E-04 , 2.251E-04 , 2.251E-04 , 2.251E-04 , 1.246E+00 , 1.296E+00 
 8.380E-03 , 1.280E+00 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.599E-06 , 8.595E-06 
 8.430E-03 , 1.461E-03 , 1.461E-03 , 1.461E-03 , 1.285E+00 , 1.461E-03 , 1.461E-03 
 8.480E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.310E-05 , 1.322E+00 
 8.530E-03 , 2.251E-04 , 2.251E-04 , 2.251E-04 , 2.251E-04 , 1.246E+00 , 1.296E+00 
 8.580E-03 , 1.292E+00 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.309E-05 , 1.322E+00 
 8.630E-03 , 1.461E-03 , 1.461E-03 , 1.461E-03 , 1.285E+00 , 1.461E-03 , 1.461E-03 
 8.680E-03 , 1.280E+00 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.599E-06 , 8.601E-06 
 8.730E-03 , 2.252E-04 , 2.252E-04 , 2.252E-04 , 2.252E-04 , 1.246E+00 , 1.296E+00 
 8.780E-03 , 1.280E+00 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.597E-06 , 8.625E-06 
 8.830E-03 , 1.462E-03 , 1.462E-03 , 1.462E-03 , 1.285E+00 , 1.462E-03 , 1.462E-03 
 8.880E-03 , 1.280E+00 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.598E-06 , 8.591E-06 
 8.930E-03 , 1.462E-03 , 1.462E-03 , 1.462E-03 , 1.285E+00 , 1.462E-03 , 1.462E-03 
 8.980E-03 , 1.280E+00 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.598E-06 , 8.603E-06 
 9.030E-03 , 1.462E-03 , 1.462E-03 , 1.462E-03 , 1.285E+00 , 1.462E-03 , 1.462E-03 
 9.080E-03 , 1.280E+00 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.598E-06 , 8.577E-06 
 9.130E-03 , 1.928E-04 , 1.928E-04 , 1.928E-04 , 1.296E+00 , 1.928E-04 , 1.296E+00 
 9.180E-03 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.307E-05 , 1.292E+00 , 1.322E+00 
 9.230E-03 , 1.462E-03 , 1.462E-03 , 1.462E-03 , 1.285E+00 , 1.462E-03 , 1.462E-03 
 9.280E-03 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.307E-05 , 1.292E+00 , 1.322E+00 
 9.330E-03 , 1.928E-04 , 1.928E-04 , 1.928E-04 , 1.296E+00 , 1.928E-04 , 1.296E+00 
 9.380E-03 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.307E-05 , 1.292E+00 , 1.322E+00 
 9.430E-03 , 1.928E-04 , 1.928E-04 , 1.928E-04 , 1.296E+00 , 1.928E-04 , 1.296E+00 
 9.480E-03 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.306E-05 , 1.292E+00 , 1.322E+00 
 9.530E-03 , 1.929E-04 , 1.929E-04 , 1.929E-04 , 1.296E+00 , 1.929E-04 , 1.296E+00 
 9.580E-03 , 1.292E+00 , 1.292E+00 , 1.322E+00 , 2.306E-05 , 1.292E+00 , 1.322E+00 
 9.630E-03 , 1.929E-04 , 1.929E-04 , 1.929E-04 , 1.296E+00 , 1.929E-04 , 1.296E+00 
 9.680E-03 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.672E-06 , 1.315E+00 , 8.674E-06 
 9.730E-03 , 1.929E-04 , 1.929E-04 , 1.929E-04 , 1.296E+00 , 1.929E-04 , 1.296E+00 
 9.780E-03 , 1.280E+00 , 1.280E+00 , 1.315E+00 , 8.672E-06 , 1.315E+00 , 8.674E-06 
