#format table ## [Custom WaveView] saved 00:59:01 Sat Jan 13 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 2.480E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.337E+00 , 5.832E-04 , 1.337E+00 
 2.530E-03 , 9.127E-05 , 9.127E-05 , 9.127E-05 , 9.127E-05 , 1.302E+00 , 9.126E-05 
 2.580E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.495E-04 
 2.630E-03 , 1.059E-05 , 1.059E-05 , 1.059E-05 , 1.059E-05 , 1.274E+00 , 1.313E+00 
 2.680E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.495E-04 
 2.730E-03 , 9.132E-05 , 9.132E-05 , 9.132E-05 , 9.132E-05 , 1.302E+00 , 9.128E-05 
 2.780E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.494E-04 
 2.830E-03 , 9.133E-05 , 9.133E-05 , 9.133E-05 , 9.133E-05 , 1.302E+00 , 9.133E-05 
 2.880E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.493E-04 
 2.930E-03 , 9.136E-05 , 9.136E-05 , 9.136E-05 , 9.136E-05 , 1.302E+00 , 9.136E-05 
 2.980E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.492E-04 
 3.030E-03 , 9.138E-05 , 9.138E-05 , 9.138E-05 , 9.138E-05 , 1.302E+00 , 9.138E-05 
 3.080E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 3.130E-03 , 9.140E-05 , 9.140E-05 , 9.140E-05 , 9.140E-05 , 1.302E+00 , 9.139E-05 
 3.180E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.490E-04 
 3.230E-03 , 9.142E-05 , 9.142E-05 , 9.142E-05 , 9.142E-05 , 9.142E-05 , 1.302E+00 
 3.280E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 3.330E-03 , 9.145E-05 , 9.145E-05 , 9.145E-05 , 9.145E-05 , 1.302E+00 , 9.146E-05 
 3.380E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.488E-04 
 3.430E-03 , 9.147E-05 , 9.147E-05 , 9.147E-05 , 9.147E-05 , 1.302E+00 , 9.147E-05 
 3.480E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.487E-04 
 3.530E-03 , 9.149E-05 , 9.149E-05 , 9.149E-05 , 9.149E-05 , 9.149E-05 , 1.302E+00 
 3.580E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 3.630E-03 , 9.152E-05 , 9.152E-05 , 9.152E-05 , 9.152E-05 , 1.302E+00 , 9.152E-05 
 3.680E-03 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.316E+00 , 1.337E+00 , 5.485E-04 
 3.730E-03 , 9.154E-05 , 9.154E-05 , 9.154E-05 , 9.154E-05 , 9.154E-05 , 1.302E+00 
 3.780E-03 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.334E+00 , 1.347E+00 
 3.830E-03 , 9.157E-05 , 9.157E-05 , 9.157E-05 , 9.157E-05 , 9.157E-05 , 1.302E+00 
