#format table ## [Custom WaveView] saved 14:30:34 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 2.480E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.937E-05 , 1.326E+00 
 2.530E-03 , 1.304E-03 , 1.304E-03 , 1.304E-03 , 1.304E-03 , 1.289E+00 , 1.304E-03 
 2.580E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.653E-05 
 2.630E-03 , 1.936E-04 , 1.936E-04 , 1.936E-04 , 1.936E-04 , 1.250E+00 , 1.300E+00 
 2.680E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.649E-05 
 2.730E-03 , 1.305E-03 , 1.305E-03 , 1.305E-03 , 1.305E-03 , 1.289E+00 , 1.305E-03 
 2.780E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.659E-05 
 2.830E-03 , 1.305E-03 , 1.305E-03 , 1.305E-03 , 1.305E-03 , 1.289E+00 , 1.305E-03 
 2.880E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.655E-05 
 2.930E-03 , 1.305E-03 , 1.305E-03 , 1.305E-03 , 1.305E-03 , 1.289E+00 , 1.305E-03 
 2.980E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.651E-05 
 3.030E-03 , 1.306E-03 , 1.306E-03 , 1.306E-03 , 1.306E-03 , 1.289E+00 , 1.306E-03 
 3.080E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 3.130E-03 , 1.306E-03 , 1.306E-03 , 1.306E-03 , 1.306E-03 , 1.289E+00 , 1.306E-03 
 3.180E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.651E-05 
 3.230E-03 , 1.306E-03 , 1.306E-03 , 1.306E-03 , 1.306E-03 , 1.306E-03 , 1.289E+00 
 3.280E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 3.330E-03 , 1.307E-03 , 1.307E-03 , 1.307E-03 , 1.307E-03 , 1.289E+00 , 1.307E-03 
 3.380E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.649E-05 
 3.430E-03 , 1.307E-03 , 1.307E-03 , 1.307E-03 , 1.307E-03 , 1.289E+00 , 1.307E-03 
 3.480E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.650E-05 
 3.530E-03 , 1.307E-03 , 1.307E-03 , 1.307E-03 , 1.307E-03 , 1.307E-03 , 1.289E+00 
 3.580E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 3.630E-03 , 1.308E-03 , 1.308E-03 , 1.308E-03 , 1.308E-03 , 1.289E+00 , 1.308E-03 
 3.680E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.650E-05 
 3.730E-03 , 1.308E-03 , 1.308E-03 , 1.308E-03 , 1.308E-03 , 1.308E-03 , 1.289E+00 
 3.780E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 3.830E-03 , 1.308E-03 , 1.308E-03 , 1.308E-03 , 1.308E-03 , 1.308E-03 , 1.289E+00 
 3.880E-03 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.296E+00 , 1.326E+00 , 2.647E-05 
 3.930E-03 , 1.309E-03 , 1.309E-03 , 1.309E-03 , 1.309E-03 , 1.289E+00 , 1.309E-03 
 3.980E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 4.030E-03 , 1.309E-03 , 1.309E-03 , 1.309E-03 , 1.309E-03 , 1.309E-03 , 1.289E+00 
 4.080E-03 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.317E+00 , 1.338E+00 
 4.130E-03 , 1.309E-03 , 1.309E-03 , 1.309E-03 , 1.309E-03 , 1.309E-03 , 1.289E+00 
